User Input File,Simulation Variable,Simulation Sub Variable,Simulation Sub Variable2,Value Type,Operator,Value,UOM,Start Month,End Month
op_G_GSM_input_demand,South,GSP4 Used Gas,,,,,BBTUD,,
op_G_GSM_input_demand,South,KN Power Plant,,,,,BBTUD,,
op_G_GSM_input_demand,South,CHN Power,,,,,BBTUD,,
op_G_GSM_input_demand,South,CHN NGV,,,,,BBTUD,,
op_G_GSM_input_demand,East,EGAT&IPP,,,,,BBTUD,,
op_G_GSM_input_demand,East,SPP,,,,,BBTUD,,
op_G_GSM_input_demand,East,IND,,,,,BBTUD,,
op_G_GSM_input_demand,East,NGV,,,,,BBTUD,,
op_G_GSM_input_demand,East,Fuel,,,,,BBTUD,,
op_G_GSM_input_demand,West,EGAT&IPP,,,,,BBTUD,,
op_G_GSM_input_demand,West,SPP,,,,,BBTUD,,
op_G_GSM_input_demand,West,IND,,,,,BBTUD,,
op_G_GSM_input_demand,West,NGV,,,,,BBTUD,,
op_G_GSM_input_demand,West,Fuel,,,,,BBTUD,,
op_E_GC_input_cost_per_feedstock,Domestic LN,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GC LN,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GC LPG ARO,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GC LPG REF,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP Ethane,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP LPG,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP NGL,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP Propane,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,IRPC LN,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import Ethylene,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN A,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN B,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN C,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN D,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN E,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LPG,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import Propane,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,TOP LN,,,Feedstock Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Domestic LN,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GC LN,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GC LPG ARO,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GC LPG REF,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP Ethane,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP LPG,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP NGL,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,GSP Propane,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,IRPC LN,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import Ethylene,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN A,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN B,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN C,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN D,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LN E,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import LPG,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,Import Propane,,,Olefin Processing Cost,,,$/TON,,
op_E_GC_input_cost_per_feedstock,TOP LN,,,Olefin Processing Cost,,,$/TON,,
op_G_GSM_input_pipeline_capacity_constraint,24,,,min,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,34,,,min,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,36,,,min,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,42,,,min,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,CHN,,,min,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,24,,,max,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,34,,,max,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,36,,,max,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,42,,,max,,,MMSCFD,,
op_G_GSM_input_pipeline_capacity_constraint,CHN,,,max,,,MMSCFD,,
op_E_EP_input_price,HDPE,,,,,,$/TON,,
op_E_EP_input_price,LDPE,,,,,,$/TON,,
op_E_EP_input_price,LLDPE,,,,,,$/TON,,
op_E_EP_input_price,PS,,,,,,$/TON,,
op_E_EP_input_price,PP,,,,,,$/TON,,
op_E_EP_input_price,Ethylene,,,,,,$/TON,,
op_E_EP_input_price,Propylene,,,,,,$/TON,,
op_E_EP_input_price,LN,,,,,,$/TON,,
op_E_EP_input_price,Domestic Ethylene,,,,,,$/TON,,
op_E_EP_input_price,Domestic Propylene,,,,,,$/TON,,
op_E_GC_input_polymers_conv_cost,HDPE,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,LDPE,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,LLDPE,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,PS,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,Glycol,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,PP,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,Phenol,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,GCO,,,Conversion,,,,,
op_E_GC_input_polymers_conv_cost,HDPE,,,Production Cost ($/T of Polymer),,,$/TON,,
op_E_GC_input_polymers_conv_cost,LDPE,,,Production Cost ($/T of Polymer),,,$/TON,,
op_E_GC_input_polymers_conv_cost,LLDPE,,,Production Cost ($/T of Polymer),,,$/TON,,
op_E_GC_input_polymers_conv_cost,PS,,,Production Cost ($/T of Polymer),,,$/TON,,
op_E_GC_input_polymers_conv_cost,Glycol,,,Production Cost ($/T of Polymer),,,$/TON,,
op_E_GC_input_polymers_conv_cost,PP,,,Production Cost ($/T of Polymer),,,$/TON,,
